-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  51.5   longitude -0.1 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 73.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M
2023,1,1,0.6343,9.18
2023,1,2,1.049,4.84
2023,1,3,0.2347,7.7
2023,1,4,0.6742,11.06
2023,1,5,0.6101,9.94
2023,1,6,0.799,8.65
2023,1,7,0.3938,8.98
2023,1,8,0.4462,6.96
2023,1,9,1.1052,5.21
2023,1,10,0.3194,7.77
2023,1,11,0.6254,8.0
2023,1,12,0.3713,9.75
2023,1,13,1.1962,6.64
2023,1,14,0.6067,8.23
2023,1,15,1.0896,4.29
2023,1,16,0.833,0.92
2023,1,17,1.2727,-2.48
2023,1,18,1.405,-0.42
2023,1,19,1.4441,-0.53
2023,1,20,1.4969,0.63
2023,1,21,1.3404,0.68
2023,1,22,1.1446,-0.29
2023,1,23,1.4902,-0.34
2023,1,24,1.3562,0.55
2023,1,25,0.5412,0.79
2023,1,26,0.9989,2.67
2023,1,27,1.0126,2.91
2023,1,28,0.8546,1.8
2023,1,29,0.7786,3.74
2023,1,30,1.6392,4.42
2023,1,31,1.4021,4.56
2023,2,1,1.0126,5.1
2023,2,2,0.755,7.36
2023,2,3,1.2149,8.47
2023,2,4,0.7258,6.64
2023,2,5,1.9135,3.95
2023,2,6,2.22,3.75
2023,2,7,2.1331,1.95
2023,2,8,2.2872,1.02
2023,2,9,1.7837,3.1
2023,2,10,1.6418,3.03
2023,2,11,1.104,6.6
2023,2,12,0.8837,6.57
2023,2,13,2.3042,4.52
2023,2,14,2.1502,5.1
2023,2,15,2.3167,7.31
2023,2,16,1.0346,8.65
2023,2,17,1.3618,10.56
2023,2,18,1.1755,10.22
2023,2,19,2.3196,8.1
2023,2,20,1.9445,8.71
2023,2,21,1.152,7.5
2023,2,22,1.2312,6.06
2023,2,23,1.1954,4.71
2023,2,24,1.4746,3.15
2023,2,25,1.8691,3.39
2023,2,26,2.3462,2.23
2023,2,27,1.8451,2.72
2023,2,28,1.3582,4.51
2023,3,1,1.6423,4.38
2023,3,2,3.3658,3.13
2023,3,3,1.272,3.79
2023,3,4,1.296,3.85
2023,3,5,1.62,1.68
2023,3,6,1.6534,3.15
2023,3,7,1.6805,2.57
2023,3,8,1.2821,1.21
2023,3,9,1.0562,5.19
2023,3,10,1.7662,3.47
2023,3,11,2.6131,2.54
2023,3,12,2.1814,9.22
2023,3,13,2.3618,11.29
2023,3,14,3.4426,5.83
2023,3,15,2.1758,4.57
2023,3,16,2.22,9.8
2023,3,17,2.1504,10.43
2023,3,18,2.447,10.11
2023,3,19,2.6052,7.82
2023,3,20,1.4314,9.12
2023,3,21,2.6064,10.17
2023,3,22,3.3478,10.54
2023,3,23,3.0122,10.68
2023,3,24,3.4934,9.74
2023,3,25,3.5791,9.41
2023,3,26,1.8816,6.65
2023,3,27,4.182,4.68
2023,3,28,1.5108,6.76
2023,3,29,1.2622,10.94
2023,3,30,3.623,11.56
2023,3,31,1.9541,10.58
2023,4,1,1.9368,8.27
2023,4,2,3.0276,6.74
2023,4,3,4.9474,5.34
2023,4,4,5.7127,5.93
2023,4,5,2.7014,6.84
2023,4,6,3.2938,9.32
2023,4,7,5.5154,7.82
2023,4,8,4.9822,8.01
2023,4,9,4.3798,9.36
2023,4,10,3.5165,10.48
2023,4,11,3.3125,8.19
2023,4,12,4.0253,6.81
2023,4,13,5.5582,7.64
2023,4,14,2.3376,7.25
2023,4,15,3.6962,9.06
2023,4,16,3.0602,10.49
2023,4,17,3.2585,10.69
2023,4,18,4.3764,8.39
2023,4,19,3.7186,9.98
2023,4,20,6.4656,8.24
2023,4,21,2.183,7.42
2023,4,22,3.601,9.16
2023,4,23,3.4517,9.99
2023,4,24,2.771,7.65
2023,4,25,5.9534,6.43
2023,4,26,3.0146,7.74
2023,4,27,2.1785,8.96
2023,4,28,3.6194,12.44
2023,4,29,5.2807,10.99
2023,4,30,3.6026,11.32
2023,5,1,4.0214,11.89
2023,5,2,3.6173,10.51
2023,5,3,6.4615,9.27
2023,5,4,4.7666,12.99
2023,5,5,4.8326,12.87
2023,5,6,1.8468,12.17
2023,5,7,4.7628,14.86
2023,5,8,2.4538,12.66
2023,5,9,3.7102,13.8
2023,5,10,5.1154,12.86
2023,5,11,5.0875,12.51
2023,5,12,3.6598,10.42
2023,5,13,3.6758,11.76
2023,5,14,5.7566,12.79
2023,5,15,5.9186,11.31
2023,5,16,6.2993,11.12
2023,5,17,5.4058,12.29
2023,5,18,5.5166,12.69
2023,5,19,4.4544,11.49
2023,5,20,7.231,12.42
2023,5,21,6.4118,12.88
2023,5,22,5.2685,13.5
2023,5,23,5.7739,12.13
2023,5,24,7.4347,13.88
2023,5,25,6.7582,13.05
2023,5,26,8.0189,12.11
2023,5,27,7.9114,12.59
2023,5,28,6.8599,13.39
2023,5,29,7.0015,11.57
2023,5,30,6.235,12.68
2023,5,31,5.214,13.75
2023,6,1,5.857,13.34
2023,6,2,6.9442,12.57
2023,6,3,7.098,14.05
2023,6,4,8.2051,13.93
2023,6,5,5.2783,13.06
2023,6,6,4.1654,13.2
2023,6,7,6.823,13.71
2023,6,8,8.0662,14.22
2023,6,9,7.7122,16.74
2023,6,10,6.6372,19.67
2023,6,11,5.047,20.83
2023,6,12,5.274,20.55
2023,6,13,7.9147,18.53
2023,6,14,8.0314,18.08
2023,6,15,7.5216,18.44
2023,6,16,7.571,18.36
2023,6,17,5.341,18.2
2023,6,18,3.7666,18.86
2023,6,19,6.5602,18.26
2023,6,20,3.4997,18.47
2023,6,21,6.6226,18.78
2023,6,22,6.7363,19.83
2023,6,23,6.433,19.83
2023,6,24,5.755,20.71
2023,6,25,7.2725,21.1
2023,6,26,6.2803,17.34
2023,6,27,3.0718,17.59
2023,6,28,2.6071,19.54
2023,6,29,5.9503,17.79
2023,6,30,3.0653,16.44
2023,7,1,4.6478,18.16
2023,7,2,5.7062,16.15
2023,7,3,4.8478,15.67
2023,7,4,2.2807,14.92
2023,7,5,5.5483,15.2
2023,7,6,5.9705,15.97
2023,7,7,8.1562,19.71
2023,7,8,3.3046,20.84
2023,7,9,5.4103,18.11
2023,7,10,4.6078,18.5
2023,7,11,4.163,18.39
2023,7,12,5.3287,17.31
2023,7,13,4.3382,17.1
2023,7,14,1.2782,16.63
2023,7,15,5.2836,17.45
2023,7,16,5.1276,16.72
2023,7,17,6.2796,16.93
2023,7,18,4.5701,17.09
2023,7,19,4.8336,17.5
2023,7,20,5.3784,17.28
2023,7,21,4.4885,16.27
2023,7,22,1.9951,15.78
2023,7,23,4.909,19.1
2023,7,24,2.6321,15.95
2023,7,25,5.2291,15.31
2023,7,26,4.9788,15.91
2023,7,27,3.7874,19.29
2023,7,28,3.883,18.84
2023,7,29,5.7607,18.49
2023,7,30,3.301,17.22
2023,7,31,2.4434,17.58
2023,8,1,5.1655,17.39
2023,8,2,3.6977,17.47
2023,8,3,4.0495,17.01
2023,8,4,3.245,16.71
2023,8,5,2.5994,14.93
2023,8,6,5.3112,14.49
2023,8,7,5.5555,15.66
2023,8,8,2.3246,15.06
2023,8,9,6.3718,17.61
2023,8,10,5.9395,19.26
2023,8,11,5.1586,19.61
2023,8,12,4.1345,18.12
2023,8,13,3.6588,18.21
2023,8,14,3.0934,18.57
2023,8,15,5.2279,18.01
2023,8,16,5.4062,18.6
2023,8,17,4.8062,18.7
2023,8,18,3.2093,19.45
2023,8,19,4.9068,19.82
2023,8,20,5.0546,18.76
2023,8,21,4.8766,18.18
2023,8,22,5.5157,19.09
2023,8,23,5.2003,19.52
2023,8,24,4.1143,19.97
2023,8,25,4.2226,16.17
2023,8,26,3.7183,15.23
2023,8,27,3.7728,14.79
2023,8,28,3.5033,15.18
2023,8,29,3.8222,15.77
2023,8,30,4.0846,14.89
2023,8,31,2.2342,14.61
2023,9,1,3.2316,18.79
2023,9,2,3.7454,18.66
2023,9,3,5.2231,18.79
2023,9,4,5.5466,19.67
2023,9,5,5.3496,20.23
2023,9,6,4.7131,21.3
2023,9,7,4.9956,21.91
2023,9,8,3.9125,22.07
2023,9,9,4.8187,24.07
2023,9,10,2.725,21.91
2023,9,11,3.3962,20.12
2023,9,12,1.9582,18.74
2023,9,13,3.5021,16.29
2023,9,14,3.979,16.8
2023,9,15,3.991,17.98
2023,9,16,3.0146,18.68
2023,9,17,1.3356,17.86
2023,9,18,2.6983,16.99
2023,9,19,1.4251,16.63
2023,9,20,1.0942,17.82
2023,9,21,3.4166,13.88
2023,9,22,3.3734,13.13
2023,9,23,3.6262,12.6
2023,9,24,2.0006,16.59
2023,9,25,3.7601,17.0
2023,9,26,3.2561,17.13
2023,9,27,1.8137,16.83
2023,9,28,1.7225,16.25
2023,9,29,3.8882,16.0
2023,9,30,2.3573,14.52
2023,10,1,1.7117,17.63
2023,10,2,1.3025,17.24
2023,10,3,3.144,14.47
2023,10,4,2.4312,13.25
2023,10,5,2.2994,14.51
2023,10,6,2.8567,16.24
2023,10,7,2.8027,17.38
2023,10,8,3.0902,16.59
2023,10,9,3.0106,15.68
2023,10,10,2.321,16.11
2023,10,11,1.4136,16.02
2023,10,12,1.1962,14.64
2023,10,13,1.9298,16.45
2023,10,14,2.7408,9.0
2023,10,15,3.283,6.46
2023,10,16,1.4686,7.9
2023,10,17,2.827,10.84
2023,10,18,0.9859,12.9
2023,10,19,1.2982,15.67
2023,10,20,1.0632,13.66
2023,10,21,1.0829,12.32
2023,10,22,2.4588,9.66
2023,10,23,1.4693,10.29
2023,10,24,2.0381,10.42
2023,10,25,2.0026,10.48
2023,10,26,1.9668,11.36
2023,10,27,1.8355,9.99
2023,10,28,1.6171,12.12
2023,10,29,1.2581,10.82
2023,10,30,1.8106,9.98
2023,10,31,1.2463,10.36
2023,11,1,1.3769,11.75
2023,11,2,0.6989,10.41
2023,11,3,1.5725,9.13
2023,11,4,1.344,9.29
2023,11,5,1.5029,8.89
2023,11,6,1.7371,9.12
2023,11,7,1.5792,7.87
2023,11,8,0.5633,8.77
2023,11,9,1.4129,7.28
2023,11,10,1.2074,6.84
2023,11,11,1.7126,5.55
2023,11,12,0.7157,7.42
2023,11,13,1.1407,11.87
2023,11,14,0.6497,10.27
2023,11,15,1.4712,7.68
2023,11,16,0.4145,5.43
2023,11,17,1.4438,6.16
2023,11,18,0.3794,11.79
2023,11,19,0.7238,10.95
2023,11,20,1.0282,9.22
2023,11,21,0.6586,8.33
2023,11,22,0.6223,7.06
2023,11,23,1.32,9.83
2023,11,24,1.0613,4.88
2023,11,25,1.5127,0.67
2023,11,26,0.4188,3.7
2023,11,27,0.4831,6.64
2023,11,28,1.0238,2.96
2023,11,29,0.9883,0.19
2023,11,30,0.9168,0.11
2023,12,1,0.9708,-0.54
2023,12,2,0.8443,-1.56
2023,12,3,0.3473,5.42
2023,12,4,0.3578,5.12
2023,12,5,0.4226,3.95
2023,12,6,0.9384,2.1
2023,12,7,0.4819,5.71
2023,12,8,0.8914,7.51
2023,12,9,0.6516,9.07
2023,12,10,0.4742,8.18
2023,12,11,0.9022,7.48
2023,12,12,0.8561,9.12
2023,12,13,0.4754,5.91
2023,12,14,0.6084,4.13
2023,12,15,0.6175,4.46
2023,12,16,0.6062,8.17
2023,12,17,0.607,8.28
2023,12,18,0.3605,9.78
2023,12,19,0.263,8.93
2023,12,20,0.635,7.2
2023,12,21,0.5297,9.79
2023,12,22,0.3941,8.77
2023,12,23,0.564,8.93
2023,12,24,0.2071,11.73
2023,12,25,0.2854,11.16
2023,12,26,0.7644,6.37
2023,12,27,0.2448,9.47
2023,12,28,0.5239,10.16
2023,12,29,0.7267,7.96
2023,12,30,0.3619,8.51
2023,12,31,0.5688,7.93
